,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,QUARTER
0,Shot Chart Detail,0022100002,26,201939,Stephen Curry,1610612744,Golden State Warriors,1,10,9,Missed Shot,Pullup Jump shot,3PT FG,Above the Break 3,Left Side Center(LC),24+ ft.,28,-109,260,1,0,10-19-2021,LAL,GSW,Q1
1,Shot Chart Detail,0022100002,34,201939,Stephen Curry,1610612744,Golden State Warriors,1,9,41,Missed Shot,Running Pull-Up Jump Shot,3PT FG,Above the Break 3,Center(C),24+ ft.,26,48,257,1,0,10-19-2021,LAL,GSW,Q1
2,Shot Chart Detail,0022100002,37,201939,Stephen Curry,1610612744,Golden State Warriors,1,9,10,Made Shot,Jump Shot,3PT FG,Above the Break 3,Left Side Center(LC),24+ ft.,25,-165,189,1,1,10-19-2021,LAL,GSW,Q1
3,Shot Chart Detail,0022100002,75,201939,Stephen Curry,1610612744,Golden State Warriors,1,6,17,Missed Shot,Driving Finger Roll Layup Shot,2PT FG,Restricted Area,Center(C),Less Than 8 ft.,1,-13,12,1,0,10-19-2021,LAL,GSW,Q1
4,Shot Chart Detail,0022100002,130,201939,Stephen Curry,1610612744,Golden State Warriors,1,3,11,Missed Shot,Layup Shot,2PT FG,Restricted Area,Center(C),Less Than 8 ft.,2,-15,22,1,0,10-19-2021,LAL,GSW,Q1
5,Shot Chart Detail,0022100002,139,201939,Stephen Curry,1610612744,Golden State Warriors,1,2,25,Missed Shot,Driving Layup Shot,2PT FG,Restricted Area,Center(C),Less Than 8 ft.,2,18,16,1,0,10-19-2021,LAL,GSW,Q1
6,Shot Chart Detail,0022100002,176,201939,Stephen Curry,1610612744,Golden State Warriors,1,0,27,Made Shot,Driving Finger Roll Layup Shot,2PT FG,Restricted Area,Center(C),Less Than 8 ft.,2,-7,29,1,1,10-19-2021,LAL,GSW,Q1
7,Shot Chart Detail,0022100002,179,201939,Stephen Curry,1610612744,Golden State Warriors,1,0,1,Missed Shot,Running Pull-Up Jump Shot,3PT FG,Above the Break 3,Right Side Center(RC),24+ ft.,26,135,228,1,0,10-19-2021,LAL,GSW,Q1
8,Shot Chart Detail,0022100002,323,201939,Stephen Curry,1610612744,Golden State Warriors,2,2,47,Missed Shot,Running Layup Shot,2PT FG,Restricted Area,Center(C),Less Than 8 ft.,2,-9,18,1,0,10-19-2021,LAL,GSW,Q2
9,Shot Chart Detail,0022100002,352,201939,Stephen Curry,1610612744,Golden State Warriors,2,1,29,Made Shot,Layup Shot,2PT FG,Restricted Area,Center(C),Less Than 8 ft.,1,-1,10,1,1,10-19-2021,LAL,GSW,Q2
10,Shot Chart Detail,0022100002,368,201939,Stephen Curry,1610612744,Golden State Warriors,2,0,2,Missed Shot,Driving Layup Shot,2PT FG,Restricted Area,Center(C),Less Than 8 ft.,2,-1,22,1,0,10-19-2021,LAL,GSW,Q2
11,Shot Chart Detail,0022100002,379,201939,Stephen Curry,1610612744,Golden State Warriors,3,11,41,Missed Shot,Floating Jump shot,2PT FG,In The Paint (Non-RA),Center(C),8-16 ft.,14,66,130,1,0,10-19-2021,LAL,GSW,Q3
12,Shot Chart Detail,0022100002,427,201939,Stephen Curry,1610612744,Golden State Warriors,3,8,23,Missed Shot,Step Back Jump shot,3PT FG,Left Corner 3,Left Side(L),24+ ft.,23,-238,11,1,0,10-19-2021,LAL,GSW,Q3
13,Shot Chart Detail,0022100002,463,201939,Stephen Curry,1610612744,Golden State Warriors,3,6,10,Missed Shot,Jump Shot,3PT FG,Above the Break 3,Left Side Center(LC),24+ ft.,26,-89,247,1,0,10-19-2021,LAL,GSW,Q3
14,Shot Chart Detail,0022100002,496,201939,Stephen Curry,1610612744,Golden State Warriors,3,3,38,Missed Shot,Jump Shot,3PT FG,Left Corner 3,Left Side(L),24+ ft.,23,-230,6,1,0,10-19-2021,LAL,GSW,Q3
15,Shot Chart Detail,0022100002,506,201939,Stephen Curry,1610612744,Golden State Warriors,3,2,42,Missed Shot,Floating Jump shot,2PT FG,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,4,41,1,0,10-19-2021,LAL,GSW,Q3
16,Shot Chart Detail,0022100002,510,201939,Stephen Curry,1610612744,Golden State Warriors,3,2,23,Made Shot,Cutting Layup Shot,2PT FG,Restricted Area,Center(C),Less Than 8 ft.,1,7,8,1,1,10-19-2021,LAL,GSW,Q3
17,Shot Chart Detail,0022100002,520,201939,Stephen Curry,1610612744,Golden State Warriors,3,1,46,Missed Shot,Layup Shot,2PT FG,Restricted Area,Center(C),Less Than 8 ft.,2,7,21,1,0,10-19-2021,LAL,GSW,Q3
18,Shot Chart Detail,0022100002,642,201939,Stephen Curry,1610612744,Golden State Warriors,4,5,34,Made Shot,Jump Shot,3PT FG,Above the Break 3,Center(C),24+ ft.,26,48,260,1,1,10-19-2021,LAL,GSW,Q4
19,Shot Chart Detail,0022100002,682,201939,Stephen Curry,1610612744,Golden State Warriors,4,2,7,Missed Shot,Step Back Jump shot,2PT FG,Mid-Range,Left Side(L),8-16 ft.,14,-98,108,1,0,10-19-2021,LAL,GSW,Q4
20,Shot Chart Detail,0022100002,693,201939,Stephen Curry,1610612744,Golden State Warriors,4,1,5,Missed Shot,Pullup Jump shot,2PT FG,Mid-Range,Left Side Center(LC),16-24 ft.,16,-97,131,1,0,10-19-2021,LAL,GSW,Q4
21,Shot Chart Detail,0022100016,14,201939,Stephen Curry,1610612744,Golden State Warriors,1,11,7,Made Shot,Pullup Jump shot,3PT FG,Above the Break 3,Right Side Center(RC),24+ ft.,26,110,237,1,1,10-21-2021,GSW,LAC,Q1
22,Shot Chart Detail,0022100016,48,201939,Stephen Curry,1610612744,Golden State Warriors,1,8,10,Made Shot,Cutting Layup Shot,2PT FG,Restricted Area,Center(C),Less Than 8 ft.,0,2,-1,1,1,10-21-2021,GSW,LAC,Q1
23,Shot Chart Detail,0022100016,78,201939,Stephen Curry,1610612744,Golden State Warriors,1,6,17,Made Shot,Pullup Jump shot,3PT FG,Above the Break 3,Left Side Center(LC),24+ ft.,26,-116,234,1,1,10-21-2021,GSW,LAC,Q1
24,Shot Chart Detail,0022100016,92,201939,Stephen Curry,1610612744,Golden State Warriors,1,4,58,Made Shot,Driving Layup Shot,2PT FG,Restricted Area,Center(C),Less Than 8 ft.,2,0,27,1,1,10-21-2021,GSW,LAC,Q1
25,Shot Chart Detail,0022100016,113,201939,Stephen Curry,1610612744,Golden State Warriors,1,3,19,Made Shot,Step Back Jump shot,3PT FG,Above the Break 3,Center(C),24+ ft.,25,80,247,1,1,10-21-2021,GSW,LAC,Q1
26,Shot Chart Detail,0022100016,116,201939,Stephen Curry,1610612744,Golden State Warriors,1,2,47,Made Shot,Pullup Jump shot,3PT FG,Above the Break 3,Left Side Center(LC),24+ ft.,25,-98,237,1,1,10-21-2021,GSW,LAC,Q1
27,Shot Chart Detail,0022100016,119,201939,Stephen Curry,1610612744,Golden State Warriors,1,2,25,Made Shot,Pullup Jump shot,2PT FG,Mid-Range,Center(C),16-24 ft.,18,1,187,1,1,10-21-2021,GSW,LAC,Q1
28,Shot Chart Detail,0022100016,128,201939,Stephen Curry,1610612744,Golden State Warriors,1,1,59,Made Shot,Running Layup Shot,2PT FG,Restricted Area,Center(C),Less Than 8 ft.,0,6,1,1,1,10-21-2021,GSW,LAC,Q1
29,Shot Chart Detail,0022100016,150,201939,Stephen Curry,1610612744,Golden State Warriors,1,0,9,Made Shot,Jump Shot,3PT FG,Above the Break 3,Right Side Center(RC),24+ ft.,25,213,134,1,1,10-21-2021,GSW,LAC,Q1
30,Shot Chart Detail,0022100016,235,201939,Stephen Curry,1610612744,Golden State Warriors,2,7,4,Made Shot,Driving Floating Jump Shot,2PT FG,In The Paint (Non-RA),Center(C),8-16 ft.,11,2,115,1,1,10-21-2021,GSW,LAC,Q2
31,Shot Chart Detail,0022100016,264,201939,Stephen Curry,1610612744,Golden State Warriors,2,4,55,Missed Shot,Pullup Jump shot,3PT FG,Above the Break 3,Center(C),24+ ft.,28,-75,271,1,0,10-21-2021,GSW,LAC,Q2
32,Shot Chart Detail,0022100016,275,201939,Stephen Curry,1610612744,Golden State Warriors,2,3,21,Missed Shot,Driving Floating Bank Jump Shot,2PT FG,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-58,42,1,0,10-21-2021,GSW,LAC,Q2
33,Shot Chart Detail,0022100016,285,201939,Stephen Curry,1610612744,Golden State Warriors,2,2,39,Missed Shot,Driving Layup Shot,2PT FG,Restricted Area,Center(C),Less Than 8 ft.,2,-16,13,1,0,10-21-2021,GSW,LAC,Q2
34,Shot Chart Detail,0022100016,338,201939,Stephen Curry,1610612744,Golden State Warriors,2,0,2,Missed Shot,Driving Layup Shot,2PT FG,Restricted Area,Center(C),Less Than 8 ft.,2,-21,10,1,0,10-21-2021,GSW,LAC,Q2
35,Shot Chart Detail,0022100016,363,201939,Stephen Curry,1610612744,Golden State Warriors,3,11,35,Missed Shot,Jump Shot,3PT FG,Above the Break 3,Left Side Center(LC),24+ ft.,24,-146,196,1,0,10-21-2021,GSW,LAC,Q3
36,Shot Chart Detail,0022100016,388,201939,Stephen Curry,1610612744,Golden State Warriors,3,9,48,Missed Shot,Jump Shot,3PT FG,Above the Break 3,Left Side Center(LC),24+ ft.,24,-112,214,1,0,10-21-2021,GSW,LAC,Q3
37,Shot Chart Detail,0022100016,413,201939,Stephen Curry,1610612744,Golden State Warriors,3,8,0,Missed Shot,Pullup Jump shot,2PT FG,Mid-Range,Center(C),8-16 ft.,15,-23,151,1,0,10-21-2021,GSW,LAC,Q3
38,Shot Chart Detail,0022100016,423,201939,Stephen Curry,1610612744,Golden State Warriors,3,7,4,Made Shot,Jump Shot,3PT FG,Above the Break 3,Left Side Center(LC),24+ ft.,26,-125,230,1,1,10-21-2021,GSW,LAC,Q3
39,Shot Chart Detail,0022100016,459,201939,Stephen Curry,1610612744,Golden State Warriors,3,4,10,Made Shot,Driving Floating Bank Jump Shot,2PT FG,Mid-Range,Right Side(R),8-16 ft.,14,124,71,1,1,10-21-2021,GSW,LAC,Q3
40,Shot Chart Detail,0022100016,498,201939,Stephen Curry,1610612744,Golden State Warriors,3,1,36,Made Shot,Driving Layup Shot,2PT FG,Restricted Area,Center(C),Less Than 8 ft.,1,-18,6,1,1,10-21-2021,GSW,LAC,Q3
41,Shot Chart Detail,0022100016,501,201939,Stephen Curry,1610612744,Golden State Warriors,3,0,57,Missed Shot,Pullup Jump shot,3PT FG,Above the Break 3,Left Side Center(LC),24+ ft.,26,-93,252,1,0,10-21-2021,GSW,LAC,Q3
42,Shot Chart Detail,0022100016,633,201939,Stephen Curry,1610612744,Golden State Warriors,4,4,37,Missed Shot,Jump Shot,3PT FG,Above the Break 3,Right Side Center(RC),24+ ft.,25,158,205,1,0,10-21-2021,GSW,LAC,Q4
43,Shot Chart Detail,0022100016,637,201939,Stephen Curry,1610612744,Golden State Warriors,4,4,0,Made Shot,Driving Layup Shot,2PT FG,Restricted Area,Center(C),Less Than 8 ft.,2,23,5,1,1,10-21-2021,GSW,LAC,Q4
44,Shot Chart Detail,0022100016,662,201939,Stephen Curry,1610612744,Golden State Warriors,4,1,54,Made Shot,Jump Shot,3PT FG,Above the Break 3,Left Side Center(LC),24+ ft.,30,-116,286,1,1,10-21-2021,GSW,LAC,Q4
45,Shot Chart Detail,0022100016,671,201939,Stephen Curry,1610612744,Golden State Warriors,4,0,57,Made Shot,Jump Shot,3PT FG,Above the Break 3,Right Side Center(RC),24+ ft.,26,157,212,1,1,10-21-2021,GSW,LAC,Q4
46,Shot Chart Detail,0022100039,23,201939,Stephen Curry,1610612744,Golden State Warriors,1,9,58,Missed Shot,Jump Shot,3PT FG,Above the Break 3,Left Side Center(LC),24+ ft.,25,-159,205,1,0,10-24-2021,SAC,GSW,Q1
47,Shot Chart Detail,0022100039,46,201939,Stephen Curry,1610612744,Golden State Warriors,1,7,52,Missed Shot,Jump Bank Shot,2PT FG,Mid-Range,Left Side(L),8-16 ft.,13,-130,34,1,0,10-24-2021,SAC,GSW,Q1
48,Shot Chart Detail,0022100039,79,201939,Stephen Curry,1610612744,Golden State Warriors,1,5,17,Missed Shot,Running Jump Shot,3PT FG,Above the Break 3,Left Side Center(LC),24+ ft.,25,-195,164,1,0,10-24-2021,SAC,GSW,Q1
49,Shot Chart Detail,0022100039,93,201939,Stephen Curry,1610612744,Golden State Warriors,1,4,2,Made Shot,Jump Shot,3PT FG,Above the Break 3,Left Side Center(LC),24+ ft.,27,-103,252,1,1,10-24-2021,SAC,GSW,Q1
50,Shot Chart Detail,0022100039,117,201939,Stephen Curry,1610612744,Golden State Warriors,1,2,5,Made Shot,Pullup Jump shot,2PT FG,Mid-Range,Right Side(R),16-24 ft.,17,170,55,1,1,10-24-2021,SAC,GSW,Q1
51,Shot Chart Detail,0022100039,130,201939,Stephen Curry,1610612744,Golden State Warriors,1,0,33,Made Shot,Pullup Jump shot,3PT FG,Above the Break 3,Center(C),24+ ft.,28,4,286,1,1,10-24-2021,SAC,GSW,Q1
52,Shot Chart Detail,0022100039,134,201939,Stephen Curry,1610612744,Golden State Warriors,1,0,0,Missed Shot,Step Back Jump shot,3PT FG,Above the Break 3,Center(C),24+ ft.,26,-6,262,1,0,10-24-2021,SAC,GSW,Q1
53,Shot Chart Detail,0022100039,265,201939,Stephen Curry,1610612744,Golden State Warriors,2,4,14,Made Shot,Running Layup Shot,2PT FG,Restricted Area,Center(C),Less Than 8 ft.,1,4,10,1,1,10-24-2021,SAC,GSW,Q2
54,Shot Chart Detail,0022100039,288,201939,Stephen Curry,1610612744,Golden State Warriors,2,2,37,Made Shot,Running Layup Shot,2PT FG,Restricted Area,Center(C),Less Than 8 ft.,1,-5,13,1,1,10-24-2021,SAC,GSW,Q2
55,Shot Chart Detail,0022100039,301,201939,Stephen Curry,1610612744,Golden State Warriors,2,1,41,Missed Shot,Running Pull-Up Jump Shot,3PT FG,Above the Break 3,Center(C),24+ ft.,32,10,323,1,0,10-24-2021,SAC,GSW,Q2
56,Shot Chart Detail,0022100039,310,201939,Stephen Curry,1610612744,Golden State Warriors,2,0,50,Missed Shot,Pullup Jump shot,3PT FG,Above the Break 3,Center(C),24+ ft.,25,-17,258,1,0,10-24-2021,SAC,GSW,Q2
57,Shot Chart Detail,0022100039,357,201939,Stephen Curry,1610612744,Golden State Warriors,3,10,35,Made Shot,Jump Shot,3PT FG,Above the Break 3,Right Side Center(RC),24+ ft.,24,126,213,1,1,10-24-2021,SAC,GSW,Q3
58,Shot Chart Detail,0022100039,371,201939,Stephen Curry,1610612744,Golden State Warriors,3,9,8,Missed Shot,Step Back Jump shot,3PT FG,Above the Break 3,Center(C),24+ ft.,24,-69,240,1,0,10-24-2021,SAC,GSW,Q3
59,Shot Chart Detail,0022100039,404,201939,Stephen Curry,1610612744,Golden State Warriors,3,6,15,Made Shot,Driving Layup Shot,2PT FG,Restricted Area,Center(C),Less Than 8 ft.,1,12,8,1,1,10-24-2021,SAC,GSW,Q3
60,Shot Chart Detail,0022100039,447,201939,Stephen Curry,1610612744,Golden State Warriors,3,3,46,Missed Shot,Jump Shot,3PT FG,Above the Break 3,Right Side Center(RC),24+ ft.,25,120,224,1,0,10-24-2021,SAC,GSW,Q3
61,Shot Chart Detail,0022100039,459,201939,Stephen Curry,1610612744,Golden State Warriors,3,2,42,Made Shot,Running Layup Shot,2PT FG,Restricted Area,Center(C),Less Than 8 ft.,1,-18,4,1,1,10-24-2021,SAC,GSW,Q3
62,Shot Chart Detail,0022100039,462,201939,Stephen Curry,1610612744,Golden State Warriors,3,2,14,Missed Shot,Step Back Jump shot,3PT FG,Above the Break 3,Left Side Center(LC),24+ ft.,24,-210,132,1,0,10-24-2021,SAC,GSW,Q3
63,Shot Chart Detail,0022100039,473,201939,Stephen Curry,1610612744,Golden State Warriors,3,0,57,Made Shot,Pullup Jump shot,3PT FG,Above the Break 3,Left Side Center(LC),24+ ft.,25,-200,156,1,1,10-24-2021,SAC,GSW,Q3
64,Shot Chart Detail,0022100039,491,201939,Stephen Curry,1610612744,Golden State Warriors,3,0,4,Missed Shot,Jump Shot,3PT FG,Above the Break 3,Center(C),24+ ft.,25,-64,250,1,0,10-24-2021,SAC,GSW,Q3
65,Shot Chart Detail,0022100039,597,201939,Stephen Curry,1610612744,Golden State Warriors,4,4,9,Missed Shot,Fadeaway Jump Shot,3PT FG,Above the Break 3,Center(C),24+ ft.,25,34,257,1,0,10-24-2021,SAC,GSW,Q4
66,Shot Chart Detail,0022100039,611,201939,Stephen Curry,1610612744,Golden State Warriors,4,3,26,Missed Shot,Reverse Layup Shot,2PT FG,Restricted Area,Center(C),Less Than 8 ft.,2,-21,21,1,0,10-24-2021,SAC,GSW,Q4
67,Shot Chart Detail,0022100039,617,201939,Stephen Curry,1610612744,Golden State Warriors,4,2,54,Missed Shot,Cutting Layup Shot,2PT FG,Restricted Area,Center(C),Less Than 8 ft.,2,-17,11,1,0,10-24-2021,SAC,GSW,Q4
68,Shot Chart Detail,0022100039,621,201939,Stephen Curry,1610612744,Golden State Warriors,4,2,40,Missed Shot,Jump Shot,3PT FG,Above the Break 3,Right Side Center(RC),24+ ft.,26,169,201,1,0,10-24-2021,SAC,GSW,Q4
69,Shot Chart Detail,0022100051,16,201939,Stephen Curry,1610612744,Golden State Warriors,1,11,14,Missed Shot,Running Jump Shot,3PT FG,Above the Break 3,Left Side Center(LC),24+ ft.,25,-173,184,1,0,10-26-2021,OKC,GSW,Q1
70,Shot Chart Detail,0022100051,49,201939,Stephen Curry,1610612744,Golden State Warriors,1,7,58,Missed Shot,Jump Shot,3PT FG,Above the Break 3,Right Side Center(RC),24+ ft.,25,189,164,1,0,10-26-2021,OKC,GSW,Q1
71,Shot Chart Detail,0022100051,73,201939,Stephen Curry,1610612744,Golden State Warriors,1,5,27,Made Shot,Pullup Jump shot,2PT FG,Mid-Range,Left Side Center(LC),16-24 ft.,20,-115,174,1,1,10-26-2021,OKC,GSW,Q1
72,Shot Chart Detail,0022100051,80,201939,Stephen Curry,1610612744,Golden State Warriors,1,4,17,Made Shot,Driving Finger Roll Layup Shot,2PT FG,Restricted Area,Center(C),Less Than 8 ft.,1,-11,15,1,1,10-26-2021,OKC,GSW,Q1
73,Shot Chart Detail,0022100051,122,201939,Stephen Curry,1610612744,Golden State Warriors,1,2,8,Missed Shot,Cutting Layup Shot,2PT FG,Restricted Area,Center(C),Less Than 8 ft.,3,12,38,1,0,10-26-2021,OKC,GSW,Q1
74,Shot Chart Detail,0022100051,131,201939,Stephen Curry,1610612744,Golden State Warriors,1,1,35,Made Shot,Jump Shot,3PT FG,Above the Break 3,Left Side Center(LC),24+ ft.,27,-181,212,1,1,10-26-2021,OKC,GSW,Q1
75,Shot Chart Detail,0022100051,135,201939,Stephen Curry,1610612744,Golden State Warriors,1,1,9,Made Shot,Step Back Jump shot,3PT FG,Above the Break 3,Right Side Center(RC),24+ ft.,25,183,181,1,1,10-26-2021,OKC,GSW,Q1
76,Shot Chart Detail,0022100051,295,201939,Stephen Curry,1610612744,Golden State Warriors,2,3,6,Made Shot,Pullup Jump shot,3PT FG,Above the Break 3,Center(C),24+ ft.,25,-47,251,1,1,10-26-2021,OKC,GSW,Q2
77,Shot Chart Detail,0022100051,320,201939,Stephen Curry,1610612744,Golden State Warriors,2,0,15,Missed Shot,Pullup Jump shot,2PT FG,Mid-Range,Right Side(R),16-24 ft.,17,167,52,1,0,10-26-2021,OKC,GSW,Q2
78,Shot Chart Detail,0022100051,322,201939,Stephen Curry,1610612744,Golden State Warriors,2,0,11,Missed Shot,Jump Shot,3PT FG,Above the Break 3,Right Side Center(RC),24+ ft.,27,199,184,1,0,10-26-2021,OKC,GSW,Q2
79,Shot Chart Detail,0022100051,345,201939,Stephen Curry,1610612744,Golden State Warriors,3,11,4,Made Shot,Jump Shot,3PT FG,Above the Break 3,Center(C),24+ ft.,25,15,256,1,1,10-26-2021,OKC,GSW,Q3
80,Shot Chart Detail,0022100051,367,201939,Stephen Curry,1610612744,Golden State Warriors,3,9,28,Missed Shot,Driving Reverse Layup Shot,2PT FG,Restricted Area,Center(C),Less Than 8 ft.,2,-21,-1,1,0,10-26-2021,OKC,GSW,Q3
81,Shot Chart Detail,0022100051,467,201939,Stephen Curry,1610612744,Golden State Warriors,3,2,27,Missed Shot,Step Back Jump shot,3PT FG,Above the Break 3,Left Side Center(LC),24+ ft.,25,-217,125,1,0,10-26-2021,OKC,GSW,Q3
82,Shot Chart Detail,0022100051,622,201939,Stephen Curry,1610612744,Golden State Warriors,4,2,54,Missed Shot,Jump Shot,3PT FG,Above the Break 3,Right Side Center(RC),24+ ft.,29,161,245,1,0,10-26-2021,OKC,GSW,Q4
83,Shot Chart Detail,0022100070,30,201939,Stephen Curry,1610612744,Golden State Warriors,1,10,6,Made Shot,Layup Shot,2PT FG,Restricted Area,Center(C),Less Than 8 ft.,2,-15,21,1,1,10-28-2021,GSW,MEM,Q1
84,Shot Chart Detail,0022100070,54,201939,Stephen Curry,1610612744,Golden State Warriors,1,7,51,Made Shot,Step Back Jump shot,3PT FG,Above the Break 3,Right Side Center(RC),24+ ft.,26,162,214,1,1,10-28-2021,GSW,MEM,Q1
85,Shot Chart Detail,0022100070,64,201939,Stephen Curry,1610612744,Golden State Warriors,1,6,57,Missed Shot,Jump Shot,3PT FG,Above the Break 3,Right Side Center(RC),24+ ft.,26,232,130,1,0,10-28-2021,GSW,MEM,Q1
86,Shot Chart Detail,0022100070,102,201939,Stephen Curry,1610612744,Golden State Warriors,1,4,24,Missed Shot,Floating Jump shot,2PT FG,Mid-Range,Right Side(R),8-16 ft.,12,93,83,1,0,10-28-2021,GSW,MEM,Q1
87,Shot Chart Detail,0022100070,122,201939,Stephen Curry,1610612744,Golden State Warriors,1,3,1,Missed Shot,Jump Shot,3PT FG,Above the Break 3,Right Side Center(RC),24+ ft.,24,228,88,1,0,10-28-2021,GSW,MEM,Q1
88,Shot Chart Detail,0022100070,126,201939,Stephen Curry,1610612744,Golden State Warriors,1,2,35,Made Shot,Jump Shot,3PT FG,Above the Break 3,Left Side Center(LC),24+ ft.,25,-186,177,1,1,10-28-2021,GSW,MEM,Q1
89,Shot Chart Detail,0022100070,152,201939,Stephen Curry,1610612744,Golden State Warriors,1,0,55,Made Shot,Running Layup Shot,2PT FG,Restricted Area,Center(C),Less Than 8 ft.,2,-22,10,1,1,10-28-2021,GSW,MEM,Q1
90,Shot Chart Detail,0022100070,222,201939,Stephen Curry,1610612744,Golden State Warriors,2,7,3,Missed Shot,Pullup Jump shot,3PT FG,Above the Break 3,Right Side Center(RC),24+ ft.,28,151,241,1,0,10-28-2021,GSW,MEM,Q2
91,Shot Chart Detail,0022100070,260,201939,Stephen Curry,1610612744,Golden State Warriors,2,4,52,Missed Shot,Pullup Jump shot,3PT FG,Above the Break 3,Center(C),24+ ft.,26,26,268,1,0,10-28-2021,GSW,MEM,Q2
92,Shot Chart Detail,0022100070,269,201939,Stephen Curry,1610612744,Golden State Warriors,2,4,3,Made Shot,Layup Shot,2PT FG,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,43,25,1,1,10-28-2021,GSW,MEM,Q2
93,Shot Chart Detail,0022100070,274,201939,Stephen Curry,1610612744,Golden State Warriors,2,3,25,Missed Shot,Pullup Jump shot,3PT FG,Above the Break 3,Center(C),24+ ft.,27,-67,267,1,0,10-28-2021,GSW,MEM,Q2
94,Shot Chart Detail,0022100070,289,201939,Stephen Curry,1610612744,Golden State Warriors,2,2,35,Made Shot,Jump Shot,3PT FG,Above the Break 3,Right Side Center(RC),24+ ft.,28,201,198,1,1,10-28-2021,GSW,MEM,Q2
95,Shot Chart Detail,0022100070,294,201939,Stephen Curry,1610612744,Golden State Warriors,2,2,9,Missed Shot,Driving Layup Shot,2PT FG,Restricted Area,Center(C),Less Than 8 ft.,2,-23,11,1,0,10-28-2021,GSW,MEM,Q2
96,Shot Chart Detail,0022100070,316,201939,Stephen Curry,1610612744,Golden State Warriors,2,0,31,Made Shot,Pullup Jump shot,3PT FG,Above the Break 3,Left Side Center(LC),24+ ft.,26,-173,195,1,1,10-28-2021,GSW,MEM,Q2
97,Shot Chart Detail,0022100070,383,201939,Stephen Curry,1610612744,Golden State Warriors,3,7,26,Made Shot,Jump Shot,3PT FG,Above the Break 3,Right Side Center(RC),24+ ft.,26,164,212,1,1,10-28-2021,GSW,MEM,Q3
98,Shot Chart Detail,0022100070,396,201939,Stephen Curry,1610612744,Golden State Warriors,3,6,33,Made Shot,Step Back Jump shot,3PT FG,Above the Break 3,Left Side Center(LC),24+ ft.,29,-164,247,1,1,10-28-2021,GSW,MEM,Q3
99,Shot Chart Detail,0022100070,406,201939,Stephen Curry,1610612744,Golden State Warriors,3,5,13,Missed Shot,Driving Layup Shot,2PT FG,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,31,57,1,0,10-28-2021,GSW,MEM,Q3
100,Shot Chart Detail,0022100070,429,201939,Stephen Curry,1610612744,Golden State Warriors,3,3,37,Missed Shot,Step Back Jump shot,3PT FG,Above the Break 3,Left Side Center(LC),24+ ft.,27,-115,254,1,0,10-28-2021,GSW,MEM,Q3
101,Shot Chart Detail,0022100070,445,201939,Stephen Curry,1610612744,Golden State Warriors,3,2,32,Made Shot,Jump Shot,3PT FG,Left Corner 3,Left Side(L),24+ ft.,22,-225,18,1,1,10-28-2021,GSW,MEM,Q3
102,Shot Chart Detail,0022100070,460,201939,Stephen Curry,1610612744,Golden State Warriors,3,0,58,Missed Shot,Layup Shot,2PT FG,In The Paint (Non-RA),Center(C),8-16 ft.,8,-20,78,1,0,10-28-2021,GSW,MEM,Q3
103,Shot Chart Detail,0022100070,463,201939,Stephen Curry,1610612744,Golden State Warriors,3,0,53,Made Shot,Putback Layup Shot,2PT FG,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,10-28-2021,GSW,MEM,Q3
104,Shot Chart Detail,0022100070,468,201939,Stephen Curry,1610612744,Golden State Warriors,3,0,35,Missed Shot,Step Back Jump shot,3PT FG,Above the Break 3,Left Side Center(LC),24+ ft.,28,-179,223,1,0,10-28-2021,GSW,MEM,Q3
105,Shot Chart Detail,0022100070,478,201939,Stephen Curry,1610612744,Golden State Warriors,3,0,1,Missed Shot,Driving Layup Shot,2PT FG,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-28,46,1,0,10-28-2021,GSW,MEM,Q3
106,Shot Chart Detail,0022100070,588,201939,Stephen Curry,1610612744,Golden State Warriors,4,3,36,Missed Shot,Jump Shot,3PT FG,Above the Break 3,Right Side Center(RC),24+ ft.,26,169,206,1,0,10-28-2021,GSW,MEM,Q4
107,Shot Chart Detail,0022100070,616,201939,Stephen Curry,1610612744,Golden State Warriors,4,1,28,Missed Shot,Jump Shot,3PT FG,Above the Break 3,Left Side Center(LC),24+ ft.,28,-181,216,1,0,10-28-2021,GSW,MEM,Q4
108,Shot Chart Detail,0022100070,634,201939,Stephen Curry,1610612744,Golden State Warriors,4,0,0,Missed Shot,Jump Shot,3PT FG,Above the Break 3,Right Side Center(RC),24+ ft.,33,112,312,1,0,10-28-2021,GSW,MEM,Q4
